ID,Label,Latitude,Longitude,Elevation,Capacity
3295,Central Park W & W 96 St,40.791270000000004,-73.964839,100.77974495,30
3144,E 81 St & Park Ave,40.77677702,-73.95900970000001,271.04586927,46
387,Centre St & Chambers St,40.71273266,-74.0046073,37.43640587,39
3080,S 4 St & Rodney St,40.709340000000005,-73.95608,25.57409999,21
3510,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,25.04304621,31
508,W 46 St & 11 Ave,40.76341379,-73.99667444,39.383831,25
3718,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,12.6858,46
3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,49.88030245,30
164,E 47 St & 2 Ave,40.75323098,-73.97032517,37.99227462,47
3744,1 Ave & E 5 St,40.725864,-73.986389,28.16389999,51
446,W 24 St & 7 Ave,40.74487634,-73.99529885,32.71728941,79
79,Franklin St & W Broadway,40.71911552,-74.00666661,9.09902976,33
295,Pike St & E Broadway,40.71406667,-73.99293911,39.204103499999995,24
327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,33.91,39
3388,President St & Henry St,40.6828003,-73.99990419,82.58,25
3916,Pearl St & Peck Slip,40.708484999999996,-74.002751,14.794,45
474,5 Ave & E 29 St,40.7451677,-73.98683077,41.98493979,56
3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,31.88209268,18
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,16.24157118,76
301,E 2 St & Avenue B,40.72217444,-73.98368779,90.65,58
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,77.34877926,31
3822,Bushwick Ave & Forrest St,40.700759999999995,-73.93641,49.4287,20
3709,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,30.932,51
217,Old Fulton St,40.70277159,-73.99383605,14.1484,39
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,28.18039093,35
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,126.51,39
3838,Bushwick Ave & Harman St,40.69356,-73.92524,57.38810527,25
3454,Leonard St & Maujer St,40.71036854235229,-73.94705951213838,40.03547557,24
3052,Lewis Ave & Madison St,40.686312,-73.935775,69.77521786,23
3579,Sterling Pl & Bedford Ave,40.672695000000004,-73.954131,159.59,25
3304,6 Ave & 9 St,40.668127,-73.98377641,89.02169999,27
128,MacDougal St & Prince St,40.72710258,-74.00297088,88.82,56
3116,Huron St & Franklin St,40.732659999999996,-73.95826,11.1743248,35
3134,3 Ave & E 62 St,40.76312584,-73.96526895,59.19831941,51
3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,30.96018323,42
3077,Stagg St & Union Ave,40.70877084,-73.95095259,30.74715462,33
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,56.06267946,25
3102,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,46.89,27
3790,Henry St & Middagh St,40.7003,-73.99158100000001,52.58892660000001,37
389,Broadway & Berry St,40.71044554,-73.96525063,40.18948585,27
249,Harrison St & Hudson St,40.71870987,-74.0090009,15.83025309,27
3122,48 Ave & 5 St,40.74436328706688,-73.95587325096129,8.36999999,79
532,S 5 Pl & S 5 St,40.710451,-73.960876,48.93459868,43
439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,35.69310517,43
3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,172.9841,47
3096,Union Ave & N 12 St,40.71924,-73.95241999999999,7.2626,39
507,E 25 St & 2 Ave,40.73912601,-73.97973776,28.52129999,45
3712,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,45.97149999,40
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,32.99294168,31
3286,E 89 St & 3 Ave,40.7806284,-73.9521667,74.2895681,39
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,35.3451,19
3735,W 30 St & 10 Ave,40.752694,-74.002353,13.71467435,38
3501,E 118 St & Madison Ave,40.801486600000004,-73.9442507,31.4354,29
3384,Smith St & 3 St,40.678724200000005,-73.99599099,72.63351248,25
3737,Stanton St & Norfolk St,40.720746999999996,-73.986274,28.1912,35
3918,Avenue D & E 8 St,40.72387,-73.975767,8.91964426,30
2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,17.99549169,35
476,E 31 St & 3 Ave,40.74394314,-73.97966069,29.314706599999997,65
3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,94.09,19
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,61.78,28
486,Broadway & W 29 St,40.7462009,-73.98855723,45.64820002,41
3513,21 St & Hoyt Ave S,40.774645,-73.92370600000001,29.47876126,21
3082,Hope St & Union Ave,40.71167351,-73.95141312,18.98310246,25
426,West St & Chambers St,40.71754834,-74.01322069,7.1058416,30
418,Front St & Gold St,40.70224,-73.982578,41.13597129,37
4011,Westchester Ave & Jackson Ave,40.816124,-73.908116,38.73149999,25
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,52.48784853,39
3893,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308234,67.78789999,25
398,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,12.57229999,31
386,Centre St & Worth St,40.71494807,-74.00234482,17.3695760003,82
3160,Central Park West & W 76 St,40.77896784,-73.97374737,87.39520186,39
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,45.84333064,35
422,W 59 St & 10 Ave,40.770513,-73.988038,69.87309999,78
502,Henry St & Grand St,40.714211,-73.981095,25.93129299,36
3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,14.06117293,27
3593,31 St & Broadway,40.761584,-73.925921,74.99,35
346,Bank St & Hudson St,40.73652889,-74.00618026,18.9066109,27
432,E 7 St & Avenue A,40.72621788,-73.98379855,68.32,31
3467,W Broadway & Spring St,40.72494672359416,-74.00165855884552,62.67,44
3664,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,10.92085512,30
3328,W 100 St & Manhattan Ave,40.795,-73.9645,86.79566324,39
3305,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,32.13189999,39
247,Perry St & Bleecker St,40.73535398,-74.00483091,24.8100547,55
3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,25.31459999,46
497,E 17 St & Broadway,40.73704984,-73.99009296,43.01039999,66
3297,6 St & 7 Ave,40.668662700000006,-73.97988067,110.2863,21
505,6 Ave & W 33 St,40.74901271,-73.98848395,42.80875253,52
3290,E 89 St & York Ave,40.7779453,-73.94604100000001,22.08691641,35
317,E 6 St & Avenue B,40.72453734,-73.98185424,56.81,54
3799,6 Ave & W 34 St,40.74964,-73.98805,44.73038993,30
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,21.4954,39
3668,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,55.72,26
3140,1 Ave & E 78 St,40.77140426,-73.9535166,36.31908209,55
358,Christopher St & Greenwich St,40.73291553,-74.00711384,18.83161262,50
379,W 31 St & 7 Ave,40.749156,-73.9916,35.60104016,56
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,64.85,27
3673,Dean St & Franklin Ave,40.67759206937376,-73.95563721656801,86.29700000000001,21
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,151.77271683,29
3766,Sharon St & Olive St,40.715353,-73.93856,26.91798375,24
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,50.952,21
174,E 25 St & 1 Ave,40.7381765,-73.97738662,15.2596,35
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,23.383000000000003,40
3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,54.53,47
461,E 20 St & 2 Ave,40.73587678,-73.98205027,19.32206297,56
3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,80.44925474,59
518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,32.57469999,30
3782,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,46.54456055,31
2010,Grand St & Greene St,40.72170005235607,-74.00238141417502,87.52,65
3156,E 72 St & York Ave,40.76663814,-73.95348296,36.34112468,37
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,12.44244898,30
3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,106.40736862,39
405,Washington St & Gansevoort St,40.739323,-74.008119,9.60058292,51
3287,W 87 St & West End Ave,40.789621999999994,-73.97757,71.6293,47
3296,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,29.03056691,42
480,W 53 St & 10 Ave,40.76669671,-73.99061728,34.16767681,29
